record_id,booking_date,day_of_week,month,area,latitude,longitude,service,base_price,booking_amount,provider_id,experience_years,provider_rating,verification_status,provider_available_hours,status,request_count,completed_requests,cancelled_requests,available_workers,service_popularity_index,is_weekend,season,data_source
URB26-00001,2026-04-01,2,4,Burari,28.758,77.1945,Electrician,314,323,DEL-P0018,3,4.7,Verified,10,Completed,4,4,0,1,95.91,0,Summer,Enriched_Delhi_Demand_2026
URB26-00002,2026-04-01,2,4,Burari,28.758,77.1945,Plumber,381,397,DEL-P0016,4,4.7,Pending,8,Completed,1,1,0,2,102.26,0,Summer,Enriched_Delhi_Demand_2026
URB26-00003,2026-04-01,2,4,Burari,28.758,77.1945,Carpenter,493,568,DEL-P0051,3,4.6,Verified,9,Completed,1,1,0,2,88.68,0,Summer,Enriched_Delhi_Demand_2026
URB26-00004,2026-04-01,2,4,Burari,28.758,77.1945,Gardener,364,401,DEL-P0044,2,4.6,Verified,8,Completed,0,0,0,1,71.63,0,Summer,Enriched_Delhi_Demand_2026
URB26-00005,2026-04-01,2,4,Burari,28.758,77.1945,AC Repair,735,802,DEL-P0026,6,4.4,Verified,9,Completed,1,1,0,1,95.31,0,Summer,Enriched_Delhi_Demand_2026
URB26-00006,2026-04-01,2,4,Burari,28.758,77.1945,Appliance Repair,943,1004,DEL-P0016,7,4.5,Verified,10,Completed,2,2,0,1,101.44,0,Summer,Enriched_Delhi_Demand_2026
URB26-00007,2026-04-01,2,4,Burari,28.758,77.1945,Cleaner,491,534,DEL-P0017,4,4.1,Verified,9,Completed,4,4,0,2,92.71,0,Summer,Enriched_Delhi_Demand_2026
URB26-00008,2026-04-01,2,4,Burari,28.758,77.1945,Painter,1019,1040,DEL-P0022,6,4.7,Verified,11,Completed,0,0,0,1,99.58,0,Summer,Enriched_Delhi_Demand_2026
URB26-00009,2026-04-01,2,4,Dwarka,28.5921,77.046,Electrician,303,345,DEL-P0001,5,4.3,Pending,8,Completed,1,1,0,3,103.89,0,Summer,Enriched_Delhi_Demand_2026
URB26-00010,2026-04-01,2,4,Dwarka,28.5921,77.046,Plumber,405,418,DEL-P0009,5,4.5,Verified,7,Completed,2,2,0,2,97.52,0,Summer,Enriched_Delhi_Demand_2026
URB26-00011,2026-04-01,2,4,Dwarka,28.5921,77.046,Carpenter,477,539,DEL-P0013,4,4.8,Verified,9,Partially Completed,1,1,0,1,98.51,0,Summer,Enriched_Delhi_Demand_2026
URB26-00012,2026-04-01,2,4,Dwarka,28.5921,77.046,Gardener,356,404,DEL-P0036,4,4.4,Verified,9,Completed,1,1,0,3,70.25,0,Summer,Enriched_Delhi_Demand_2026
URB26-00013,2026-04-01,2,4,Dwarka,28.5921,77.046,AC Repair,757,857,DEL-P0036,7,4.6,Verified,10,Completed,2,2,0,1,93.18,0,Summer,Enriched_Delhi_Demand_2026
URB26-00014,2026-04-01,2,4,Dwarka,28.5921,77.046,Appliance Repair,928,1002,DEL-P0024,7,4.6,Pending,9,Completed,2,2,0,2,87.81,0,Summer,Enriched_Delhi_Demand_2026
URB26-00015,2026-04-01,2,4,Dwarka,28.5921,77.046,Cleaner,522,588,DEL-P0031,6,4.2,Verified,8,Completed,3,2,1,3,99.32,0,Summer,Enriched_Delhi_Demand_2026
URB26-00016,2026-04-01,2,4,Dwarka,28.5921,77.046,Painter,1033,1085,DEL-P0008,4,4.6,Verified,9,Completed,2,2,0,1,100.37,0,Summer,Enriched_Delhi_Demand_2026
URB26-00017,2026-04-01,2,4,Janakpuri,28.6219,77.0878,Electrician,287,319,DEL-P0007,3,4.8,Verified,8,Completed,4,4,0,1,97.45,0,Summer,Enriched_Delhi_Demand_2026
URB26-00018,2026-04-01,2,4,Janakpuri,28.6219,77.0878,Plumber,403,449,DEL-P0041,6,4.7,Verified,7,Completed,2,2,0,2,103.82,0,Summer,Enriched_Delhi_Demand_2026
URB26-00019,2026-04-01,2,4,Janakpuri,28.6219,77.0878,Carpenter,493,525,DEL-P0022,4,4.7,Pending,10,Completed,0,0,0,1,92.23,0,Summer,Enriched_Delhi_Demand_2026
URB26-00020,2026-04-01,2,4,Janakpuri,28.6219,77.0878,Gardener,350,375,DEL-P0010,4,4.4,Verified,8,Completed,1,1,0,2,67.06,0,Summer,Enriched_Delhi_Demand_2026
URB26-00021,2026-04-01,2,4,Janakpuri,28.6219,77.0878,AC Repair,784,884,DEL-P0051,4,4.8,Verified,8,Completed,0,0,0,1,95.18,0,Summer,Enriched_Delhi_Demand_2026
URB26-00022,2026-04-01,2,4,Janakpuri,28.6219,77.0878,Appliance Repair,866,975,DEL-P0036,9,4.5,Verified,11,Completed,1,1,0,4,99.32,0,Summer,Enriched_Delhi_Demand_2026
URB26-00023,2026-04-01,2,4,Janakpuri,28.6219,77.0878,Cleaner,475,486,DEL-P0001,5,4.0,Verified,8,Completed,2,2,0,3,93.39,0,Summer,Enriched_Delhi_Demand_2026
URB26-00024,2026-04-01,2,4,Janakpuri,28.6219,77.0878,Painter,976,1077,DEL-P0046,5,4.6,Pending,9,Completed,2,2,0,3,96.99,0,Summer,Enriched_Delhi_Demand_2026
URB26-00025,2026-04-01,2,4,Karol Bagh,28.6514,77.1907,Electrician,316,324,DEL-P0013,4,4.9,Pending,8,Completed,0,0,0,1,103.51,0,Summer,Enriched_Delhi_Demand_2026
URB26-00026,2026-04-01,2,4,Karol Bagh,28.6514,77.1907,Plumber,389,448,DEL-P0017,4,4.5,Verified,8,Partially Completed,1,1,0,1,96.16,0,Summer,Enriched_Delhi_Demand_2026
URB26-00027,2026-04-01,2,4,Karol Bagh,28.6514,77.1907,Carpenter,524,560,DEL-P0049,5,4.7,Verified,7,Partially Completed,2,2,0,3,88.43,0,Summer,Enriched_Delhi_Demand_2026
URB26-00028,2026-04-01,2,4,Karol Bagh,28.6514,77.1907,Gardener,358,407,DEL-P0019,4,4.4,Verified,7,Completed,1,1,0,2,69.16,0,Summer,Enriched_Delhi_Demand_2026
URB26-00029,2026-04-01,2,4,Karol Bagh,28.6514,77.1907,AC Repair,803,861,DEL-P0020,6,4.7,Pending,8,Completed,2,2,0,1,93.67,0,Summer,Enriched_Delhi_Demand_2026
URB26-00030,2026-04-01,2,4,Karol Bagh,28.6514,77.1907,Appliance Repair,916,1020,DEL-P0060,7,4.7,Verified,9,Completed,2,2,0,1,96.0,0,Summer,Enriched_Delhi_Demand_2026
URB26-00031,2026-04-01,2,4,Karol Bagh,28.6514,77.1907,Cleaner,477,525,DEL-P0021,5,4.3,Verified,8,Completed,2,2,0,2,95.3,0,Summer,Enriched_Delhi_Demand_2026
URB26-00032,2026-04-01,2,4,Karol Bagh,28.6514,77.1907,Painter,956,1020,DEL-P0007,4,4.6,Verified,9,Completed,1,1,0,2,97.02,0,Summer,Enriched_Delhi_Demand_2026
URB26-00033,2026-04-01,2,4,Lajpat Nagar,28.5677,77.2433,Electrician,315,363,DEL-P0045,4,4.5,Pending,9,Completed,1,1,0,3,92.6,0,Summer,Enriched_Delhi_Demand_2026
URB26-00034,2026-04-01,2,4,Lajpat Nagar,28.5677,77.2433,Plumber,394,426,DEL-P0050,5,4.7,Pending,8,Completed,1,1,0,5,100.3,0,Summer,Enriched_Delhi_Demand_2026
URB26-00035,2026-04-01,2,4,Lajpat Nagar,28.5677,77.2433,Carpenter,496,551,DEL-P0046,3,4.7,Verified,9,Completed,0,0,0,1,95.5,0,Summer,Enriched_Delhi_Demand_2026
URB26-00036,2026-04-01,2,4,Lajpat Nagar,28.5677,77.2433,Gardener,361,380,DEL-P0039,3,4.4,Pending,6,Partially Completed,1,1,0,3,76.11,0,Summer,Enriched_Delhi_Demand_2026
URB26-00037,2026-04-01,2,4,Lajpat Nagar,28.5677,77.2433,AC Repair,735,804,DEL-P0012,6,4.6,Pending,10,Completed,0,0,0,1,96.3,0,Summer,Enriched_Delhi_Demand_2026
URB26-00038,2026-04-01,2,4,Lajpat Nagar,28.5677,77.2433,Appliance Repair,929,1054,DEL-P0058,7,4.7,Verified,9,Cancelled,2,0,2,2,101.21,0,Summer,Enriched_Delhi_Demand_2026
URB26-00039,2026-04-01,2,4,Lajpat Nagar,28.5677,77.2433,Cleaner,520,593,DEL-P0042,6,4.1,Verified,7,Completed,4,4,0,2,96.81,0,Summer,Enriched_Delhi_Demand_2026
URB26-00040,2026-04-01,2,4,Lajpat Nagar,28.5677,77.2433,Painter,1031,1062,DEL-P0029,4,4.7,Verified,8,Completed,1,1,0,2,101.0,0,Summer,Enriched_Delhi_Demand_2026
URB26-00041,2026-04-01,2,4,Malviya Nagar,28.5286,77.196,Electrician,290,319,DEL-P0026,2,4.3,Verified,9,Completed,2,2,0,1,99.47,0,Summer,Enriched_Delhi_Demand_2026
URB26-00042,2026-04-01,2,4,Malviya Nagar,28.5286,77.196,Plumber,379,418,DEL-P0025,3,4.7,Verified,8,Cancelled,6,1,5,3,99.82,0,Summer,Enriched_Delhi_Demand_2026
URB26-00043,2026-04-01,2,4,Malviya Nagar,28.5286,77.196,Carpenter,527,541,DEL-P0007,4,4.8,Verified,7,Cancelled,2,0,2,3,97.48,0,Summer,Enriched_Delhi_Demand_2026
URB26-00044,2026-04-01,2,4,Malviya Nagar,28.5286,77.196,Gardener,341,348,DEL-P0045,5,4.4,Verified,7,Completed,3,3,0,3,68.53,0,Summer,Enriched_Delhi_Demand_2026
URB26-00045,2026-04-01,2,4,Malviya Nagar,28.5286,77.196,AC Repair,716,826,DEL-P0041,7,4.8,Verified,10,Completed,4,4,0,3,95.79,0,Summer,Enriched_Delhi_Demand_2026
URB26-00046,2026-04-01,2,4,Malviya Nagar,28.5286,77.196,Appliance Repair,945,1095,DEL-P0011,8,4.7,Verified,11,Completed,1,1,0,3,98.21,0,Summer,Enriched_Delhi_Demand_2026
URB26-00047,2026-04-01,2,4,Malviya Nagar,28.5286,77.196,Cleaner,500,577,DEL-P0022,6,4.2,Pending,9,Completed,3,3,0,2,96.47,0,Summer,Enriched_Delhi_Demand_2026
URB26-00048,2026-04-01,2,4,Malviya Nagar,28.5286,77.196,Painter,977,1105,DEL-P0017,7,4.8,Verified,9,Completed,5,5,0,1,90.78,0,Summer,Enriched_Delhi_Demand_2026
URB26-00049,2026-04-01,2,4,Mayur Vihar,28.6048,77.2894,Electrician,300,340,DEL-P0031,4,4.6,Verified,7,Completed,2,2,0,1,99.24,0,Summer,Enriched_Delhi_Demand_2026
URB26-00050,2026-04-01,2,4,Mayur Vihar,28.6048,77.2894,Plumber,387,421,DEL-P0051,3,4.6,Verified,10,Completed,3,3,0,2,95.54,0,Summer,Enriched_Delhi_Demand_2026
URB26-00051,2026-04-01,2,4,Mayur Vihar,28.6048,77.2894,Carpenter,519,590,DEL-P0014,2,4.8,Pending,10,Completed,3,3,0,4,90.57,0,Summer,Enriched_Delhi_Demand_2026
URB26-00052,2026-04-01,2,4,Mayur Vihar,28.6048,77.2894,Gardener,364,387,DEL-P0021,5,4.3,Verified,10,Cancelled,1,0,1,1,77.08,0,Summer,Enriched_Delhi_Demand_2026
URB26-00053,2026-04-01,2,4,Mayur Vihar,28.6048,77.2894,AC Repair,740,785,DEL-P0027,5,5.0,Verified,9,Partially Completed,2,1,0,2,94.01,0,Summer,Enriched_Delhi_Demand_2026
URB26-00054,2026-04-01,2,4,Mayur Vihar,28.6048,77.2894,Appliance Repair,879,918,DEL-P0054,7,4.6,Verified,10,Completed,0,0,0,1,99.75,0,Summer,Enriched_Delhi_Demand_2026
URB26-00055,2026-04-01,2,4,Mayur Vihar,28.6048,77.2894,Cleaner,514,594,DEL-P0031,3,4.5,Verified,8,Completed,1,1,0,3,95.68,0,Summer,Enriched_Delhi_Demand_2026
URB26-00056,2026-04-01,2,4,Mayur Vihar,28.6048,77.2894,Painter,987,1115,DEL-P0052,3,4.6,Verified,8,Completed,2,2,0,4,94.96,0,Summer,Enriched_Delhi_Demand_2026
URB26-00057,2026-04-01,2,4,Model Town,28.7167,77.191,Electrician,299,320,DEL-P0040,4,4.4,Verified,10,Completed,1,1,0,1,98.09,0,Summer,Enriched_Delhi_Demand_2026
URB26-00058,2026-04-01,2,4,Model Town,28.7167,77.191,Plumber,405,450,DEL-P0047,6,4.8,Verified,8,Completed,4,4,0,2,95.47,0,Summer,Enriched_Delhi_Demand_2026
URB26-00059,2026-04-01,2,4,Model Town,28.7167,77.191,Carpenter,522,588,DEL-P0014,4,4.4,Pending,8,Completed,3,3,0,2,99.09,0,Summer,Enriched_Delhi_Demand_2026
URB26-00060,2026-04-01,2,4,Model Town,28.7167,77.191,Gardener,364,417,DEL-P0007,4,4.4,Verified,7,Completed,1,1,0,3,70.54,0,Summer,Enriched_Delhi_Demand_2026
URB26-00061,2026-04-01,2,4,Model Town,28.7167,77.191,AC Repair,784,907,DEL-P0021,5,4.7,Pending,10,Completed,1,1,0,3,87.87,0,Summer,Enriched_Delhi_Demand_2026
URB26-00062,2026-04-01,2,4,Model Town,28.7167,77.191,Appliance Repair,880,989,DEL-P0060,8,4.7,Verified,9,Partially Completed,2,2,0,1,100.82,0,Summer,Enriched_Delhi_Demand_2026
URB26-00063,2026-04-01,2,4,Model Town,28.7167,77.191,Cleaner,493,531,DEL-P0045,5,4.1,Verified,9,Completed,5,5,0,5,100.03,0,Summer,Enriched_Delhi_Demand_2026
URB26-00064,2026-04-01,2,4,Model Town,28.7167,77.191,Painter,959,984,DEL-P0048,5,4.6,Pending,12,Completed,1,1,0,2,97.3,0,Summer,Enriched_Delhi_Demand_2026
URB26-00065,2026-04-01,2,4,Pitampura,28.7033,77.1322,Electrician,298,335,DEL-P0017,3,4.4,Verified,7,Completed,5,5,0,2,99.94,0,Summer,Enriched_Delhi_Demand_2026
URB26-00066,2026-04-01,2,4,Pitampura,28.7033,77.1322,Plumber,382,431,DEL-P0009,5,4.8,Verified,8,Completed,1,1,0,2,92.07,0,Summer,Enriched_Delhi_Demand_2026
URB26-00067,2026-04-01,2,4,Pitampura,28.7033,77.1322,Carpenter,511,522,DEL-P0025,3,4.5,Verified,8,Completed,2,2,0,2,95.28,0,Summer,Enriched_Delhi_Demand_2026
URB26-00068,2026-04-01,2,4,Pitampura,28.7033,77.1322,Gardener,368,394,DEL-P0047,5,4.5,Pending,8,Completed,2,2,0,3,74.43,0,Summer,Enriched_Delhi_Demand_2026
URB26-00069,2026-04-01,2,4,Pitampura,28.7033,77.1322,AC Repair,794,857,DEL-P0059,5,4.4,Pending,10,Completed,0,0,0,1,95.15,0,Summer,Enriched_Delhi_Demand_2026
URB26-00070,2026-04-01,2,4,Pitampura,28.7033,77.1322,Appliance Repair,876,1002,DEL-P0057,6,4.8,Verified,10,Completed,0,0,0,1,100.18,0,Summer,Enriched_Delhi_Demand_2026
URB26-00071,2026-04-01,2,4,Pitampura,28.7033,77.1322,Cleaner,483,521,DEL-P0024,4,4.1,Verified,8,Completed,3,3,0,3,96.35,0,Summer,Enriched_Delhi_Demand_2026
URB26-00072,2026-04-01,2,4,Pitampura,28.7033,77.1322,Painter,1052,1086,DEL-P0016,7,4.7,Verified,9,Cancelled,4,1,3,2,89.35,0,Summer,Enriched_Delhi_Demand_2026
URB26-00073,2026-04-01,2,4,Preet Vihar,28.6413,77.2953,Electrician,292,300,DEL-P0029,3,4.6,Verified,11,Completed,9,9,0,3,99.15,0,Summer,Enriched_Delhi_Demand_2026
URB26-00074,2026-04-01,2,4,Preet Vihar,28.6413,77.2953,Plumber,411,467,DEL-P0040,5,4.4,Verified,8,Completed,4,4,0,2,98.71,0,Summer,Enriched_Delhi_Demand_2026
URB26-00075,2026-04-01,2,4,Preet Vihar,28.6413,77.2953,Carpenter,524,550,DEL-P0059,5,4.6,Verified,10,Completed,2,2,0,4,99.52,0,Summer,Enriched_Delhi_Demand_2026
URB26-00076,2026-04-01,2,4,Preet Vihar,28.6413,77.2953,Gardener,347,382,DEL-P0032,5,4.4,Verified,6,Completed,0,0,0,1,80.94,0,Summer,Enriched_Delhi_Demand_2026
URB26-00077,2026-04-01,2,4,Preet Vihar,28.6413,77.2953,AC Repair,741,860,DEL-P0033,5,4.6,Pending,10,Completed,2,2,0,2,95.41,0,Summer,Enriched_Delhi_Demand_2026
URB26-00078,2026-04-01,2,4,Preet Vihar,28.6413,77.2953,Appliance Repair,885,1008,DEL-P0032,5,4.5,Pending,11,Completed,3,3,0,4,96.9,0,Summer,Enriched_Delhi_Demand_2026
URB26-00079,2026-04-01,2,4,Preet Vihar,28.6413,77.2953,Cleaner,507,568,DEL-P0057,4,4.1,Verified,8,Completed,6,6,0,2,94.9,0,Summer,Enriched_Delhi_Demand_2026
URB26-00080,2026-04-01,2,4,Preet Vihar,28.6413,77.2953,Painter,1027,1057,DEL-P0012,6,4.7,Verified,10,Completed,0,0,0,1,102.37,0,Summer,Enriched_Delhi_Demand_2026
URB26-00081,2026-04-01,2,4,Rohini,28.7495,77.0565,Electrician,315,357,DEL-P0048,1,4.2,Verified,9,Completed,3,3,0,3,103.9,0,Summer,Enriched_Delhi_Demand_2026
URB26-00082,2026-04-01,2,4,Rohini,28.7495,77.0565,Plumber,416,466,DEL-P0004,3,4.5,Verified,9,Completed,5,5,0,3,103.02,0,Summer,Enriched_Delhi_Demand_2026
URB26-00083,2026-04-01,2,4,Rohini,28.7495,77.0565,Carpenter,486,563,DEL-P0031,3,4.6,Pending,9,Completed,1,1,0,2,93.83,0,Summer,Enriched_Delhi_Demand_2026
URB26-00084,2026-04-01,2,4,Rohini,28.7495,77.0565,Gardener,368,417,DEL-P0052,3,4.3,Verified,8,Completed,1,1,0,3,78.46,0,Summer,Enriched_Delhi_Demand_2026
URB26-00085,2026-04-01,2,4,Rohini,28.7495,77.0565,AC Repair,748,811,DEL-P0006,6,4.7,Verified,9,Completed,4,4,0,2,98.1,0,Summer,Enriched_Delhi_Demand_2026
URB26-00086,2026-04-01,2,4,Rohini,28.7495,77.0565,Appliance Repair,900,980,DEL-P0018,5,4.7,Verified,10,Completed,3,3,0,1,102.61,0,Summer,Enriched_Delhi_Demand_2026
URB26-00087,2026-04-01,2,4,Rohini,28.7495,77.0565,Cleaner,486,554,DEL-P0057,6,4.0,Verified,10,Partially Completed,3,3,0,2,90.03,0,Summer,Enriched_Delhi_Demand_2026
URB26-00088,2026-04-01,2,4,Rohini,28.7495,77.0565,Painter,992,1145,DEL-P0021,5,4.6,Verified,9,Completed,2,2,0,1,98.59,0,Summer,Enriched_Delhi_Demand_2026
URB26-00089,2026-04-01,2,4,Saket,28.5244,77.2066,Electrician,305,335,DEL-P0058,3,4.6,Verified,9,Completed,0,0,0,1,93.8,0,Summer,Enriched_Delhi_Demand_2026
URB26-00090,2026-04-01,2,4,Saket,28.5244,77.2066,Plumber,405,452,DEL-P0052,2,4.3,Verified,8,Completed,1,1,0,3,93.82,0,Summer,Enriched_Delhi_Demand_2026
URB26-00091,2026-04-01,2,4,Saket,28.5244,77.2066,Carpenter,493,544,DEL-P0029,3,4.8,Verified,8,Completed,1,1,0,3,91.24,0,Summer,Enriched_Delhi_Demand_2026
URB26-00092,2026-04-01,2,4,Saket,28.5244,77.2066,Gardener,351,378,DEL-P0043,5,4.5,Pending,9,Completed,0,0,0,1,75.38,0,Summer,Enriched_Delhi_Demand_2026
URB26-00093,2026-04-01,2,4,Saket,28.5244,77.2066,AC Repair,718,807,DEL-P0023,5,4.6,Verified,10,Completed,2,2,0,2,100.05,0,Summer,Enriched_Delhi_Demand_2026
URB26-00094,2026-04-01,2,4,Saket,28.5244,77.2066,Appliance Repair,864,885,DEL-P0011,9,4.6,Verified,11,Completed,3,3,0,2,101.58,0,Summer,Enriched_Delhi_Demand_2026
URB26-00095,2026-04-01,2,4,Saket,28.5244,77.2066,Cleaner,486,555,DEL-P0013,5,4.0,Pending,10,Completed,1,1,0,3,92.74,0,Summer,Enriched_Delhi_Demand_2026
